"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
BodyMotion,754880,tender,754880,VMIP3S0,754880,"Castro_Aina_ES.eaf"
Clothing,756660,ropa,756660,NCFS000,756660,"Castro_Aina_ES.eaf"
Communication,758440,hablar,758440,VMIP3S0,758440,"Castro_Aina_ES.eaf"
Objectt,760220,teléfono,760220,NCMS000,760220,"Castro_Aina_ES.eaf"
-,762210,no,762210,RN,762210,"Castro_Aina_ES.eaf"
-,762804,no,762804,RN,762804,"Castro_Aina_ES.eaf"
Aux,763101,haber,763101,VAIP1S0,763101,"Castro_Aina_ES.eaf"
Aux,763398,terminar,763398,VMP00SM,763398,"Castro_Aina_ES.eaf"
BodyMotion,763992,tender,763992,VMN0000,763992,"Castro_Aina_ES.eaf"
Aux,764883,tener,764883,VMIP1S0,764883,"Castro_Aina_ES.eaf"
Process,765477,dar_se_prisa,765477,VMN0000,765477,"Castro_Aina_ES.eaf"
-,768030,no,768030,RN,768030,"Castro_Aina_ES.eaf"
Communication,769464,hablar,769464,VMIP2S0,769464,"Castro_Aina_ES.eaf"
-,769942,sí,769942,RG,769942,"Castro_Aina_ES.eaf"
-,770420,claro,770420,RG,770420,"Castro_Aina_ES.eaf"
Object,771137,maleta,771137,NCFP000,771137,"Castro_Aina_ES.eaf"
Aux,771376,estar,771376,VAIP3P0,771376,"Castro_Aina_ES.eaf"
-,771854,punto,771854,NCMS000,771854,"Castro_Aina_ES.eaf"
Hearing,775010,oír,775010,VMM02S0,775010,"Castro_Aina_ES.eaf"
Time,775360,ahora,775360,RG,775360,"Castro_Aina_ES.eaf"
-,775535,no,775535,RN,775535,"Castro_Aina_ES.eaf"
Aux,775710,poder,775710,VMIP1S0,775710,"Castro_Aina_ES.eaf"
Communication,775885,hablar,775885,VMN0000,775885,"Castro_Aina_ES.eaf"
Aux,776235,tener,776235,VMIP1S0,776235,"Castro_Aina_ES.eaf"
Process,776585,dejar,776585,VMN0000,776585,"Castro_Aina_ES.eaf"
A-PositionalAttribute,780344,próximo,780344,AQ0FS0,780344,"Castro_Aina_ES.eaf"
Process,784894,pasar,784894,VMIP3S0,784894,"Castro_Aina_ES.eaf"
Time,3724,amanecer,3724,NCMS000,3724,"Fuente_Virginia_ES.eaf"
Location,5548,playa,5548,NCFS000,5548,"Fuente_Virginia_ES.eaf"
exists,6460,haber,6460,VMIP3S0,6460,"Fuente_Virginia_ES.eaf"
Human,7372,pareja,7372,NCFS000,7372,"Fuente_Virginia_ES.eaf"
Walking,7828,pasear,7828,VMG0000,7828,"Fuente_Virginia_ES.eaf"
Animal,9196,perro,9196,NCMS000,9196,"Fuente_Virginia_ES.eaf"
Human,10564,hombre,10564,NCMS000,10564,"Fuente_Virginia_ES.eaf"
Walking,11020,correr,11020,VMG0000,11020,"Fuente_Virginia_ES.eaf"
Animal,12388,perro,12388,NCMS000,12388,"Fuente_Virginia_ES.eaf"
Smelling,12844,olisquear,12844,VMIP3S0,12844,"Fuente_Virginia_ES.eaf"
Location,14668,arena,14668,NCFS000,14668,"Fuente_Virginia_ES.eaf"
Time,15580,después,15580,RG,15580,"Fuente_Virginia_ES.eaf"
Motion,16036,seguir,16036,VMIP3S0,16036,"Fuente_Virginia_ES.eaf"
Human,17404,amo,17404,NCMP000,17404,"Fuente_Virginia_ES.eaf"
-,22642,deportivo,22642,NCMS000,22642,"Fuente_Virginia_ES.eaf"
A-ColorAttribute,22862,blanco,22862,NCMS000,22862,"Fuente_Virginia_ES.eaf"
Putting,23082,aparcar,23082,VMIP3S0,23082,"Fuente_Virginia_ES.eaf"
Location,23742,carretera,23742,NCFS000,23742,"Fuente_Virginia_ES.eaf"
Location,24402,lado,24402,NCMS000,24402,"Fuente_Virginia_ES.eaf"
Location,25062,paseo,25062,NCMS000,25062,"Fuente_Virginia_ES.eaf"
Location,25722,playa,25722,NCFS000,25722,"Fuente_Virginia_ES.eaf"
-,26602,coche,26602,NCMS000,26602,"Fuente_Virginia_ES.eaf"
Motion,27042,bajar,27042,VMIP3S0,27042,"Fuente_Virginia_ES.eaf"
Human,27482,hombre,27482,NCMS000,27482,"Fuente_Virginia_ES.eaf"
A-SubjectiveAssessmentAttribute,27922,mediano,27922,AQ0FS0,27922,"Fuente_Virginia_ES.eaf"
-,28142,edad,28142,NCFS000,28142,"Fuente_Virginia_ES.eaf"
A-Clothing,28582,trajear,28582,VMP00SM,28582,"Fuente_Virginia_ES.eaf"
