"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
A-Human,197932,pèl_roig,197932,AQ0MS0,197932,"What-AccessFriendly-CA.eaf"
BodyPart,198892,barba,198892,NCFS000,198892,"What-AccessFriendly-CA.eaf"
BodyPart,206921,cara,206921,NCFS000,206921,"What-AccessFriendly-CA.eaf"
A-EmotionalState,207569,amoïnar,207569,VMP00SM,207569,"What-AccessFriendly-CA.eaf"
Motion,208217,tornar,208217,VMIP3S0,208217,"What-AccessFriendly-CA.eaf"
-,209189,tovallola,209189,NCFS000,209189,"What-AccessFriendly-CA.eaf"
Putting Dressing,210161,posar,210161,VMIP3S0,210161,"What-AccessFriendly-CA.eaf"
Cloth,210809,camisa,210809,NCFS000,210809,"What-AccessFriendly-CA.eaf"
A-EmotionalState,211457,intrigar,211457,VMP00SM,211457,"What-AccessFriendly-CA.eaf"
EndFn,212429,parar,212429,VMIP3S0,212429,"What-AccessFriendly-CA.eaf"
Seeing,213077,mirar,213077,VMN0000,213077,"What-AccessFriendly-CA.eaf"
-,214373,voltant,214373,NCMS000,214373,"What-AccessFriendly-CA.eaf"
-,220483,james,220483,NCMP000,220483,"What-AccessFriendly-CA.eaf"
Walking,220757,caminar,220757,VMIP3S0,220757,"What-AccessFriendly-CA.eaf"
-,221579,zona,221579,NCFS000,221579,"What-AccessFriendly-CA.eaf"
-,222127,arbre,222127,NCMP000,222127,"What-AccessFriendly-CA.eaf"
Putting Dressing,222675,portar,222675,VMIP3S0,222675,"What-AccessFriendly-CA.eaf"
Cloth,223223,vestit,223223,NCMS000,223223,"What-AccessFriendly-CA.eaf"
Cloth,224319,corbata,224319,NCFS000,224319,"What-AccessFriendly-CA.eaf"
Motion,227597,pujar,227597,VMIP3S0,227597,"What-AccessFriendly-CA.eaf"
-,228557,corriol,228557,NCMS000,228557,"What-AccessFriendly-CA.eaf"
null,228877,costerut,228877,AQ0MS0,228877,"What-AccessFriendly-CA.eaf"
