"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Location,356324,back,356324,RB,356324,"ADAssociates-US.eaf"
-,356786,forth,356786,RB,356786,"ADAssociates-US.eaf"
Seeing,380733,look_around,380733,VBZ,380733,"ADAssociates-US.eaf"
Location,398885,side,398885,NN,398885,"ADAssociates-US.eaf"
Human,399455,rick,399455,NNP,399455,"ADAssociates-US.eaf"
Walking,399740,stroll,399740,VBZ,399740,"ADAssociates-US.eaf"
A-SubjectiveAssessment,400595,concrete,400595,JJ,400595,"ADAssociates-US.eaf"
Location,400880,walkway,400880,NN,400880,"ADAssociates-US.eaf"
-,401735,coffee,401735,NN,401735,"ADAssociates-US.eaf"
Object,402020,cup,402020,NN,402020,"ADAssociates-US.eaf"
-,402305,still,402305,RB,402305,"ADAssociates-US.eaf"
Object,403160,bench,403160,NN,403160,"ADAssociates-US.eaf"
Time,407340,next,407340,RB,407340,"ADAssociates-US.eaf"
Vegetable,408267,foliage,408267,NN,408267,"ADAssociates-US.eaf"
Location,409194,background,409194,NN,409194,"ADAssociates-US.eaf"
A-SubjectiveAssessment,410121,young,410121,JJ,410121,"ADAssociates-US.eaf"
Human,410430,woman,410430,NN,410430,"ADAssociates-US.eaf"
A-SubjectiveAssessment,411048,long,411048,JJ,411048,"ADAssociates-US.eaf"
A-SubjectiveAssessment,411666,curly,411666,JJ,411666,"ADAssociates-US.eaf"
A-ColorAttribute,412284,red,412284,JJ,412284,"ADAssociates-US.eaf"
BodyPart,412593,hair,412593,NN,412593,"ADAssociates-US.eaf"
BodyMotion,412902,sit,412902,VBZ,412902,"ADAssociates-US.eaf"
Object,413829,laptop,413829,NN,413829,"ADAssociates-US.eaf"
Object,414447,paper,414447,NNS,414447,"ADAssociates-US.eaf"
Process,415374,br,415374,VBZ,415374,"ADAssociates-US.eaf"
Object,415992,pencil,415992,NN,415992,"ADAssociates-US.eaf"
-,416301,end,416301,NN,416301,"ADAssociates-US.eaf"
BodyPart,417228,lip,417228,NNS,417228,"ADAssociates-US.eaf"
Human,419000,jess,419000,NNP,419000,"ADAssociates-US.eaf"
Human,419600,student,419600,NN,419600,"ADAssociates-US.eaf"
IntentionalPsychologicalProcess,422351,rummage,422351,VBZ,422351,"ADAssociates-US.eaf"
Object,423404,paper,423404,NNS,423404,"ADAssociates-US.eaf"
Human,493750,jess,493750,NNP,493750,"ADAssociates-US.eaf"
Seeing,493985,look,493985,VBZ,493985,"ADAssociates-US.eaf"
Location,494690,side,494690,NNS,494690,"ADAssociates-US.eaf"
-,495160,up,495160,RB,495160,"ADAssociates-US.eaf"
Human,506660,jess,506660,NNP,506660,"ADAssociates-US.eaf"
Process,506990,gather,506990,VBZ,506990,"ADAssociates-US.eaf"
Object,507650,thing,507650,NNS,507650,"ADAssociates-US.eaf"
Clothing,512772,jacket,512772,NN,512772,"ADAssociates-US.eaf"
Clothing,513544,scarf,513544,NN,513544,"ADAssociates-US.eaf"
Human,514316,jess,514316,NNP,514316,"ADAssociates-US.eaf"
Motion,514702,step_up,514702,VBZ,514702,"ADAssociates-US.eaf"
Location,515474,embankment,515474,NN,515474,"ADAssociates-US.eaf"
A-SubjectiveAssessment,516246,tall,516246,JJ,516246,"ADAssociates-US.eaf"
Vegetable,516632,grasse,516632,NNS,516632,"ADAssociates-US.eaf"
-,517018,/,517018,NNS,517018,"ADAssociates-US.eaf"
BodyMotion,517404,turn,517404,VBZ,517404,"ADAssociates-US.eaf"
-,517790,abruptly,517790,RB,517790,"ADAssociates-US.eaf"
Time,518562,then,518562,RB,518562,"ADAssociates-US.eaf"
Process,518948,continue_on,518948,VBZ,518948,"ADAssociates-US.eaf"
Time,530960,now,530960,RB,530960,"ADAssociates-US.eaf"
Human,531502,jess,531502,NNP,531502,"ADAssociates-US.eaf"
Human,532044,rick,532044,NNP,532044,"ADAssociates-US.eaf"
Human,532857,james,532857,NNP,532857,"ADAssociates-US.eaf"
-,533399,all,533399,RB,533399,"ADAssociates-US.eaf"
Seeing,533670,look,533670,VBG,533670,"ADAssociates-US.eaf"
Location,534483,sky,534483,NN,534483,"ADAssociates-US.eaf"
Location,535025,around,535025,RB,535025,"ADAssociates-US.eaf"
Process,535567,meet,535567,VBP,535567,"ADAssociates-US.eaf"
Location,536380,stretch,536380,NN,536380,"ADAssociates-US.eaf"
Location,536922,sand,536922,NN,536922,"ADAssociates-US.eaf"
Seeing,556542,glance,556542,NN,556542,"ADAssociates-US.eaf"
-,556803,up,556803,RB,556803,"ADAssociates-US.eaf"
-,557325,about,557325,RB,557325,"ADAssociates-US.eaf"
A-StateOfMind,557847,quizzical,557847,JJ,557847,"ADAssociates-US.eaf"
Seeing,558108,look,558108,VBZ,558108,"ADAssociates-US.eaf"
BodyPart,558891,face,558891,NNS,558891,"ADAssociates-US.eaf"
Human,621500,james,621500,NNP,621500,"ADAssociates-US.eaf"
Gesture,621833,nod,621833,VBZ,621833,"ADAssociates-US.eaf"
BodyPart,662684,finger,662684,NN,662684,"ADAssociates-US.eaf"
BodyMotion,662938,sway,662938,VBZ,662938,"ADAssociates-US.eaf"
RadiatingSound,663700,metronome,663700,NN,663700,"ADAssociates-US.eaf"
Human,696450,rick,696450,NNP,696450,"ADAssociates-US.eaf"
Gesture,696783,nod,696783,VBZ,696783,"ADAssociates-US.eaf"
Human,707000,rick,707000,NNP,707000,"ADAssociates-US.eaf"
Gesture,707299,shrug,707299,VBZ,707299,"ADAssociates-US.eaf"
Gesture,707897,shake,707897,VBZ,707897,"ADAssociates-US.eaf"
BodyPart,708495,head,708495,NN,708495,"ADAssociates-US.eaf"
Human,709093,jess,709093,NNP,709093,"ADAssociates-US.eaf"
Gesture,709392,shake,709392,VBZ,709392,"ADAssociates-US.eaf"
BodyPart,709990,head,709990,NN,709990,"ADAssociates-US.eaf"
BodyPart,720390,arm,720390,NNS,720390,"ADAssociates-US.eaf"
A-PositionalAttribute,720723,outspread,720723,VBN,720723,"ADAssociates-US.eaf"
Human,737000,james,737000,NNP,737000,"ADAssociates-US.eaf"
Human,737696,rick,737696,NNP,737696,"ADAssociates-US.eaf"
BodyMotion,738044,turn,738044,VB,738044,"ADAssociates-US.eaf"
Walking,738740,step_away,738740,VB,738740,"ADAssociates-US.eaf"
Human,743540,jess,743540,NNP,743540,"ADAssociates-US.eaf"
Process,743845,join,743845,VBZ,743845,"ADAssociates-US.eaf"
Human,745065,figure,745065,NNS,745065,"ADAssociates-US.eaf"
Aux,745370,be,745370,VBP,745370,"ADAssociates-US.eaf"
A-SubjectiveAssessment,745675,tiny,745675,JJ,745675,"ADAssociates-US.eaf"
Location,746590,stretch,746590,NN,746590,"ADAssociates-US.eaf"
