"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Breathing,60320,esbufegar,60320,VMIP3S0,60320,"What-DescriptiveFerrer-CA.eaf"
BodyMotion,60876,arronsar,60876,VMIP3S0,60876,"What-DescriptiveFerrer-CA.eaf"
Walking,65324,caminar,65324,VMIP3S0,65324,"What-DescriptiveFerrer-CA.eaf"
ModyMotion,94155,estirar,94155,VMIP3S0,94155,"What-DescriptiveFerrer-CA.eaf"
Touching,101230,fregar,101230,VMIP3S0,101230,"What-DescriptiveFerrer-CA.eaf"
BodyMotion,102150,estirar,102150,VMIP3S0,102150,"What-DescriptiveFerrer-CA.eaf"
Touching,107265,acaronar,107265,VMIP3S0,107265,"What-DescriptiveFerrer-CA.eaf"
Touching,108060,agafar,108060,VMIP3S0,108060,"What-DescriptiveFerrer-CA.eaf"
Seeing,130270,mirar,130270,VMIP3S0,130270,"What-DescriptiveFerrer-CA.eaf"
Searching,130862,buscar,130862,VMG0000,130862,"What-DescriptiveFerrer-CA.eaf"
Touching,142050,remenar,142050,VMIP3S0,142050,"What-DescriptiveFerrer-CA.eaf"
Putting,159000,tirar,159000,VMIP3S0,159000,"What-DescriptiveFerrer-CA.eaf"
BodyMotion,159920,alçar,159920,VMM02S0,159920,"What-DescriptiveFerrer-CA.eaf"
Motion,164760,allunyar,164760,VMIP3S0,164760,"What-DescriptiveFerrer-CA.eaf"
Searching,165480,buscar,165480,VMG0000,165480,"What-DescriptiveFerrer-CA.eaf"
Motion,178260,aturar,178260,VMIP3S0,178260,"What-DescriptiveFerrer-CA.eaf"
Motion,179310,fer_mitja_volta,179310,VMIP3S0,179310,"What-DescriptiveFerrer-CA.eaf"
Motion,185557,aturar,185557,VMIP3S0,185557,"What-DescriptiveFerrer-CA.eaf"
Process,186792,tornar,186792,VMIP3S0,186792,"What-DescriptiveFerrer-CA.eaf"
Walking,187286,passejar,187286,VMN0000,187286,"What-DescriptiveFerrer-CA.eaf"
Searching,188274,buscar,188274,VMG0000,188274,"What-DescriptiveFerrer-CA.eaf"
located,189509,estar,189509,VMIP3S0,189509,"What-DescriptiveFerrer-CA.eaf"
Putting Dressing,197652,portar,197652,VMIP3S0,197652,"What-DescriptiveFerrer-CA.eaf"
Motion,207682,tornar,207682,VMIP3S0,207682,"What-DescriptiveFerrer-CA.eaf"
Putting Dressing,209166,posar,209166,VMIP3S0,209166,"What-DescriptiveFerrer-CA.eaf"
capability,210014,deixar,210014,VMN0000,210014,"What-DescriptiveFerrer-CA.eaf"
Seeing,210438,guaitar,210438,VMN0000,210438,"What-DescriptiveFerrer-CA.eaf"
Walking,220584,recórrer,220584,VMIP3S0,220584,"What-DescriptiveFerrer-CA.eaf"
Motion,226285,enfilar,226285,VMIP3S0,226285,"What-DescriptiveFerrer-CA.eaf"
SoundAttribute,233844,tamborinar,233844,VMIP3S0,233844,"What-DescriptiveFerrer-CA.eaf"
possesses,236868,tenir,236868,VMIP3S0,236868,"What-DescriptiveFerrer-CA.eaf"
Putting Dressing,238128,portar,238128,VMIP3S0,238128,"What-DescriptiveFerrer-CA.eaf"
BodyMotion,239388,sacsejar,239388,VMIP3S0,239388,"What-DescriptiveFerrer-CA.eaf"
Touching,250000,destapar,250000,VMIP3S0,250000,"What-DescriptiveFerrer-CA.eaf"
Seeing,251512,mirar,251512,VMIP3S0,251512,"What-DescriptiveFerrer-CA.eaf"
IntentionalProcess,253240,fer,253240,VMIP3S0,253240,"What-DescriptiveFerrer-CA.eaf"
Process,269683,tornar,269683,VMIP3S0,269683,"What-DescriptiveFerrer-CA.eaf"
Seeing,270129,mirar,270129,VMN0000,270129,"What-DescriptiveFerrer-CA.eaf"
BodyMotion,271021,bellugar,271021,VMIP3S0,271021,"What-DescriptiveFerrer-CA.eaf"
IntentionalProcess,272805,fer,272805,VMIP3S0,272805,"What-DescriptiveFerrer-CA.eaf"
Expressing,278050,fer_que_no,278050,VMIP3S0,278050,"What-DescriptiveFerrer-CA.eaf"
Putting,279352,deixar,279352,VMM02S0,279352,"What-DescriptiveFerrer-CA.eaf"
BodyMotion,282142,recolzar,282142,VMIP3S0,282142,"What-DescriptiveFerrer-CA.eaf"
BodyMotion,283072,picar_de_mans,283072,VMIP3S0,283072,"What-DescriptiveFerrer-CA.eaf"
capability,283816,deixar,283816,VMN0000,283816,"What-DescriptiveFerrer-CA.eaf"
null,284188,camejar,284188,VMN0000,284188,"What-DescriptiveFerrer-CA.eaf"
Removing,284932,treure,284932,VMIP3S0,284932,"What-DescriptiveFerrer-CA.eaf"
IntentionalProcess,290370,fer,290370,VMIP3S0,290370,"What-DescriptiveFerrer-CA.eaf"
Process,290540,anar,290540,VMN0000,290540,"What-DescriptiveFerrer-CA.eaf"
PositionalAttribute,291390,aturar,291390,VMIP3S0,291390,"What-DescriptiveFerrer-CA.eaf"
Selecting,297080,seleccionar,297080,VMIP3S0,297080,"What-DescriptiveFerrer-CA.eaf"
Communication,298555,trucar,298555,VMIP3S0,298555,"What-DescriptiveFerrer-CA.eaf"
Seeing,329150,mira,329150,VMIP3S0,329150,"What-DescriptiveFerrer-CA.eaf"
Searching,380140,buscar,380140,VMIP3S0,380140,"What-DescriptiveFerrer-CA.eaf"
BodyMotion,398185,alçar,398185,VMIP3S0,398185,"What-DescriptiveFerrer-CA.eaf"
Motion,399295,allunyar,399295,VMIP3S0,399295,"What-DescriptiveFerrer-CA.eaf"
Searching,400035,buscar,400035,VMG0000,400035,"What-DescriptiveFerrer-CA.eaf"
Putting,401330,deixar,401330,VMIP3S0,401330,"What-DescriptiveFerrer-CA.eaf"
Process,409699,feinejar,409699,VMIP3S0,409699,"What-DescriptiveFerrer-CA.eaf"
Searching,420313,buscar,420313,VMIP3S0,420313,"What-DescriptiveFerrer-CA.eaf"
Seeing,497120,mirar,497120,VMIP3S0,497120,"What-DescriptiveFerrer-CA.eaf"
Motion,510350,sortir,510350,VMIP1S0,510350,"What-DescriptiveFerrer-CA.eaf"
Motion,511400,seguir,511400,VMM02S0,511400,"What-DescriptiveFerrer-CA.eaf"
Motion,518000,pujar,518000,VMIP3S0,518000,"What-DescriptiveFerrer-CA.eaf"
Motion,525225,aturar,525225,VMIP3S0,525225,"What-DescriptiveFerrer-CA.eaf"
Hearing,526125,parar_la_orella,526125,VMN0000,526125,"What-DescriptiveFerrer-CA.eaf"
Motion,527025,continuar,527025,VMIP3S0,527025,"What-DescriptiveFerrer-CA.eaf"
located,533472,trobar,533472,VMIP3P0,533472,"What-DescriptiveFerrer-CA.eaf"
Seeing,537600,mirar,537600,VMIP3P0,537600,"What-DescriptiveFerrer-CA.eaf"
Seeing,709046,mirar,709046,VMIP3P0,709046,"What-DescriptiveFerrer-CA.eaf"
