"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Motion,172513,volar,172513,VMIP3S0,172513,"Aptent-ES.eaf"
-,173362,metro,173362,NCMP000,173362,"Aptent-ES.eaf"
BodyMotion,174211,agitar,174211,VMG0000,174211,"Aptent-ES.eaf"
BodyPart,174777,ala,174777,NCFP000,174777,"Aptent-ES.eaf"
-,175343,ímpetu,175343,NCMS000,175343,"Aptent-ES.eaf"
Seeing,179820,dirigir_la_mirada,179820,VMIP3S0,179820,"Aptent-ES.eaf"
Location,180260,de_un_lado_a_otro,180260,RG,180260,"Aptent-ES.eaf"
Location,181580,playa,181580,NCFS000,181580,"Aptent-ES.eaf"
A-StateOfMind,182900,desorientar,182900,VMP00SM,182900,"Aptent-ES.eaf"
Motion,187420,dar_media_vuelta,187420,VMIP3S0,187420,"Aptent-ES.eaf"
Aux,188251,dejar,188251,VMN0000,188251,"Aptent-ES.eaf"
Seeing,188805,mirar,188805,VMN0000,188805,"Aptent-ES.eaf"
Location,189636,dirección,189636,NCFP000,189636,"Aptent-ES.eaf"
Motion,190190,acercar,190190,VMIP3S0,190190,"Aptent-ES.eaf"
Location,191021,orilla,191021,NCFS000,191021,"Aptent-ES.eaf"
BodyPart,198108,rostro,198108,NCMS000,198108,"Aptent-ES.eaf"
Process,198436,denotar,198436,VMIP3S0,198436,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,198764,cierto,198764,AQ0FS0,198764,"Aptent-ES.eaf"
StateOfMind,199092,inquietud,199092,NCFS000,199092,"Aptent-ES.eaf"
Walking,199748,caminar,199748,VMIP3S0,199748,"Aptent-ES.eaf"
-,200404,vuelta,200404,NCFS000,200404,"Aptent-ES.eaf"
Object,201388,toalla,201388,NCFS000,201388,"Aptent-ES.eaf"
-,203028,paso,203028,NCMP000,203028,"Aptent-ES.eaf"
-,204012,yate,204012,NCMP000,204012,"Aptent-ES.eaf"
Motion,204340,surcar,204340,VMIP3P0,204340,"Aptent-ES.eaf"
Location,204996,mar,204996,NCMS000,204996,"Aptent-ES.eaf"
BodyMotion,208796,inclinar,208796,VMIP3S0,208796,"Aptent-ES.eaf"
Quantifier,209092,ligeramente,209092,RG,209092,"Aptent-ES.eaf"
Touching,209684,recoger,209684,VMN0000,209684,"Aptent-ES.eaf"
Clothing,210276,camisa,210276,NCFS000,210276,"Aptent-ES.eaf"
Aux,210868,volver,210868,VMIP3S0,210868,"Aptent-ES.eaf"
Seeing,211460,alzar_la_mirada,211460,VMN0000,211460,"Aptent-ES.eaf"
Putting,212644,poner,212644,VMIP3S0,212644,"Aptent-ES.eaf"
Time,213236,después,213236,RG,213236,"Aptent-ES.eaf"
BodyMotion,213828,agachar,213828,VMIP3S0,213828,"Aptent-ES.eaf"
Touching,214420,recoger,214420,VMN0000,214420,"Aptent-ES.eaf"
-,215012,resto,215012,NCMS000,215012,"Aptent-ES.eaf"
Clothing,215900,ropa,215900,NCFS000,215900,"Aptent-ES.eaf"
Aux,216492,seguir,216492,VMN0000,216492,"Aptent-ES.eaf"
Dressing,216788,vestir,216788,VMG0000,216788,"Aptent-ES.eaf"
Walking,218800,caminar,218800,VMIP3S0,218800,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,219616,largo,219616,AQ0MS0,219616,"Aptent-ES.eaf"
Location,219888,paseo,219888,NCMS000,219888,"Aptent-ES.eaf"
A-PositionalAttribute,220160,rodear,220160,VMP00SM,220160,"Aptent-ES.eaf"
Vegetable,220704,árbol,220704,NCMP000,220704,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,221248,abundante,221248,AQ0CS0,221248,"Aptent-ES.eaf"
-,221520,follaje,221520,NCMS000,221520,"Aptent-ES.eaf"
possesses,222064,tener,222064,VMIP3S0,222064,"Aptent-ES.eaf"
-,222608,cuello,222608,NCMS000,222608,"Aptent-ES.eaf"
Clothing,223424,camisa,223424,NCFS000,223424,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,223696,desabrochar,223696,VMP00SM,223696,"Aptent-ES.eaf"
-,224240,ya,224240,RG,224240,"Aptent-ES.eaf"
-,224512,no,224512,RN,224512,"Aptent-ES.eaf"
Dressing,224784,llevar,224784,VMIP3S0,224784,"Aptent-ES.eaf"
Clothing,225056,corbata,225056,NCFS000,225056,"Aptent-ES.eaf"
Motion,227220,subir,227220,VMIP3S0,227220,"Aptent-ES.eaf"
Location,228231,montaña,228231,NCFS000,228231,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,229242,estrecho,229242,AQ0MS0,229242,"Aptent-ES.eaf"
Location,229579,sendero,229579,NCMS000,229579,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,229916,pedregoso,229916,AQ0MS0,229916,"Aptent-ES.eaf"
Human,234232,hombre,234232,NCMS000,234232,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,234816,mediano,234816,AQ0FS0,234816,"Aptent-ES.eaf"
-,235108,edad,235108,NCFS000,235108,"Aptent-ES.eaf"
BodyPart,235692,barba,235692,NCFS000,235692,"Aptent-ES.eaf"
A-ColorAttribute,235984,canoso,235984,AQ0FS0,235984,"Aptent-ES.eaf"
