"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Process,764452,dar,764452,VMN0000,764452,"What-Aptent-ES.eaf"
Communication,769002,hablar,769002,VMIP2S0,769002,"What-Aptent-ES.eaf"
Seeing,772420,mirar,772420,VMIP3S0,772420,"What-Aptent-ES.eaf"
Hearing,774700,oír,774700,VMM02S0,774700,"What-Aptent-ES.eaf"
Process,775496,poder,775496,VMIP1S0,775496,"What-Aptent-ES.eaf"
Communication,775695,hablar,775695,VMN0000,775695,"What-Aptent-ES.eaf"
Process,776491,dejar,776491,VMN0000,776491,"What-Aptent-ES.eaf"
Process,784278,pasar,784278,VMIP3S0,784278,"What-Aptent-ES.eaf"
Walking,4148,caminar,4148,VMIP3S0,4148,"Aristia-ES.eaf"
Motion,5666,cruzar,5666,VMIP3P0,5666,"Aristia-ES.eaf"
Motion,6931,ir,6931,VMIP3S0,6931,"Aristia-ES.eaf"
Motion,9461,ir,9461,VMIP3P0,9461,"Aristia-ES.eaf"
Motion,23224,detener,23224,VMIP3S0,23224,"Aristia-ES.eaf"
Communication,25296,hablar,25296,VMIP3S0,25296,"Aristia-ES.eaf"
Motion,32373,apear,32373,VMIP3S0,32373,"Aristia-ES.eaf"
Process,52440,rondar,52440,VMIP3S0,52440,"Aristia-ES.eaf"
Process,61284,poner,61284,VMIP3S0,61284,"Aristia-ES.eaf"
Communication,64042,anunciar,64042,VMIP3S0,64042,"Aristia-ES.eaf"
Walking,67450,caminar,67450,VMIP3S0,67450,"Aristia-ES.eaf"
BodyMotion,68318,manipular,68318,VMG0000,68318,"Aristia-ES.eaf"
BodyMotion,92307,tumbar,92307,VMIP3S0,92307,"Aristia-ES.eaf"
Possesses,96298,llevar,96298,VMIP3S0,96298,"Aristia-ES.eaf"
BodyMotion,97526,cerrar,97526,VMIP3S0,97526,"Aristia-ES.eaf"
BodyMotion,103020,frotar,103020,VMIP3S0,103020,"Aristia-ES.eaf"
BodyMotion,103740,abrir,103740,VMIP3S0,103740,"Aristia-ES.eaf"
BodyMotion,114701,incorporar,114701,VMIP3S0,114701,"Aristia-ES.eaf"
Process,115243,coger,115243,VMIP3S0,115243,"Aristia-ES.eaf"
Hearing,130000,escuchar,130000,VMIP3S0,130000,"Aristia-ES.eaf"
Seeing,141410,mirar,141410,VMIP3S0,141410,"Aristia-ES.eaf"
IntentionalPsychologicalProcess,157950,buscar,157950,VMIP3S0,157950,"Aristia-ES.eaf"
BodyMotion,161353,levantar,161353,VMIP3S0,161353,"Aristia-ES.eaf"
Walking,163000,caminar,163000,VMIP3S0,163000,"Aristia-ES.eaf"
Hearing,165720,escuchar,165720,VMG0000,165720,"Aristia-ES.eaf"
Seeing,166536,mirar,166536,VMG0000,166536,"Aristia-ES.eaf"
Motion,180380,girar,180380,VMIP3S0,180380,"Aristia-ES.eaf"
Motion,183866,detener,183866,VMIP3S0,183866,"Aristia-ES.eaf"
Seeing,184478,mirar,184478,VMIP3S0,184478,"Aristia-ES.eaf"
Walking,195640,caminar,195640,VMIP3S0,195640,"Aristia-ES.eaf"
IntentionalPsychologicalProcess,196765,buscar,196765,VMG0000,196765,"Aristia-ES.eaf"
Process,208370,coger,208370,VMIP3S0,208370,"Aristia-ES.eaf"
Process,209708,poner,209708,VMIP3S0,209708,"Aristia-ES.eaf"
Walking,220654,caminar,220654,VMIP3S0,220654,"Aristia-ES.eaf"
Walking,226470,subir,226470,VMIP3S0,226470,"Aristia-ES.eaf"
BodyMotion,233738,repiquetear,233738,VMIP3S0,233738,"Aristia-ES.eaf"
Possesses,236111,llevar,236111,VMIP3S0,236111,"Aristia-ES.eaf"
Seeing,238823,mirar,238823,VMIP3S0,238823,"Aristia-ES.eaf"
Possesses,240179,llevar,240179,VMIP3S0,240179,"Aristia-ES.eaf"
BodyMotion,248120,pasar,248120,VMIP3S0,248120,"Aristia-ES.eaf"
Process,252347,quitar,252347,VMIP3S0,252347,"Aristia-ES.eaf"
Possesses,253415,contener,253415,VMIP3S0,253415,"Aristia-ES.eaf"
Motion,255245,acercar,255245,VMIP3S0,255245,"Aristia-ES.eaf"
Seeing,257045,mirar,257045,VMIP3S0,257045,"Aristia-ES.eaf"
Drinking,258330,beber,258330,VMIP3S0,258330,"Aristia-ES.eaf"
Communication,264098,anunciar,264098,VMIP3S0,264098,"Aristia-ES.eaf"
Process,267680,dejar,267680,VMIP3S0,267680,"Aristia-ES.eaf"
BodyMotion,273190,mover,273190,VMIP3S0,273190,"Aristia-ES.eaf"
Process,279030,dejar,279030,VMIP3S0,279030,"Aristia-ES.eaf"
Seeing,280854,mirar,280854,VMIP3S0,280854,"Aristia-ES.eaf"
Process,285090,sacar,285090,VMIP3S0,285090,"Aristia-ES.eaf"
BodyMotion,296280,seleccionar,296280,VMIP3S0,296280,"Aristia-ES.eaf"
Communication,297150,llamar,297150,VMIP3S0,297150,"Aristia-ES.eaf"
Seeing,329730,mirar,329730,VMIP3S0,329730,"Aristia-ES.eaf"
Seeing,380060,mirar,380060,VMIP3S0,380060,"Aristia-ES.eaf"
BodyMotion,398514,levantar,398514,VMIP3S0,398514,"Aristia-ES.eaf"
Seeing,398748,mirar,398748,VMG0000,398748,"Aristia-ES.eaf"
Motion,400152,alejar,400152,VMIP3S0,400152,"Aristia-ES.eaf"
Process,402024,quedar,402024,VMIP3S0,402024,"Aristia-ES.eaf"
Process,412185,rondar,412185,VMIP3S0,412185,"Aristia-ES.eaf"
IntentionalPsychologicalProcess,423000,buscar,423000,VMIP3S0,423000,"Aristia-ES.eaf"
Process,428480,coger,428480,VMIP3S0,428480,"Aristia-ES.eaf"
Seeing,494300,mirar,494300,VMIP3S0,494300,"Aristia-ES.eaf"
BodyMotion,506643,levantar,506643,VMIP3S0,506643,"Aristia-ES.eaf"
Walking,511040,caminar,511040,VMIP3S0,511040,"Aristia-ES.eaf"
Seeing,513902,mirar,513902,VMIP3S0,513902,"Aristia-ES.eaf"
Walking,517120,subir,517120,VMIP3S0,517120,"Aristia-ES.eaf"
Motion,523330,detener,523330,VMIP3S0,523330,"Aristia-ES.eaf"
Seeing,523892,mirar,523892,VMIP3S0,523892,"Aristia-ES.eaf"
Walking,526030,subir,526030,VMIP3S0,526030,"Aristia-ES.eaf"
Walking,526420,correr,526420,VMG0000,526420,"Aristia-ES.eaf"
Motion,529470,llegar,529470,VMIP3S0,529470,"Aristia-ES.eaf"
Seeing,533955,mirar,533955,VMIP3P0,533955,"Aristia-ES.eaf"
Seeing,539540,mirar,539540,VMIP3P0,539540,"Aristia-ES.eaf"
Hearing,541178,escuchar,541178,VMIP3P0,541178,"Aristia-ES.eaf"
BodyMotion,557467,gesticular,557467,VMIP3S0,557467,"Aristia-ES.eaf"
Seeing,707656,mirar,707656,VMIP3P0,707656,"Aristia-ES.eaf"
BodyMotion,709186,negar,709186,VMIP3S0,709186,"Aristia-ES.eaf"
Seeing,717440,mirar,717440,VMIP3P0,717440,"Aristia-ES.eaf"
Walking,736884,caminar,736884,VMIP3S0,736884,"Aristia-ES.eaf"
Process,740621,quedar,740621,VMIP3S0,740621,"Aristia-ES.eaf"
BodyMotion,741734,sonreír,741734,VMIP3S0,741734,"Aristia-ES.eaf"
Motion,744900,ir,744900,VMIP3S0,744900,"Aristia-ES.eaf"
Walking,746190,caminar,746190,VMIP3P0,746190,"Aristia-ES.eaf"
PositionalAttribute,747480,rodear,747480,VMIP3S0,747480,"Aristia-ES.eaf"
FilmLanguage,758804,fundir,758804,VMIP3S0,758804,"Aristia-ES.eaf"
Process,760136,tender,760136,VMIP3S0,760136,"Aristia-ES.eaf"
