"Annotation1-1"	"BeginTime"	"Annotation1-2"	"BeginTime"	"Annotation2-1"	"BeginTime"	"Annotation2-2"	"BeginTime"	"Annotation3-2"	"BeginTime"	"TranscriptionName"
NCFS000	513754	AQ0FS0	514101	zona	513754	boscoso	514101	A-SubjectiveAssessmentAttribute	514101	"What-CEIAF-ES.eaf"
NCFS000	515489	AQ0MS0	516183	intensidad	515489	extraño	516183	A-SubjectiveAssessmentAttribute	516183	"What-CEIAF-ES.eaf"
NCCS000	739964	AQ0FS0	740870	estudiante	739964	pensativo	740870	A-IntentionalPsychologicalProcess	740870	"What-CEIAF-ES.eaf"
NCFS000	758010	AQ0FS0	758320	mujer	758010	negro	758320	A-ColorAttribute	758320	"What-CEIAF-ES.eaf"
NP00O00	779356	AQ0FS0	780400	zoé	779356	próximo	780400	A-PositionalAttribute	780400	"What-CEIAF-ES.eaf"
NCMS000	4935	AQ0MS0	5314	paseo	4935	marítimo	5314	A-PositionalAttribute	5314	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	6451	AQ0MS0	7209	cielo	6451	luminoso	7209	A-RadiatingLight	7209	"What-CineAccesibleNavarra-ES.eaf"
NCFP000	9104	AQ0FP0	9483	nube	9104	blanco	9483	A-ColorAttribute	9483	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	15547	AQ0MS0	15926	fondo	15547	blanco	15926	A-ColorAttribute	15926	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	22288	AQ0MS0	22556	coche	22288	blanco	22556	A-ColorAttribute	22556	"What-CineAccesibleNavarra-ES.eaf"
NCFS000	23360	AQ0FS0	23628	gama	23360	alto	23628	A-SubjectiveAssessmentAttribute	23628	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	25236	AQ0MS0	25504	paseo	25236	marítimo	25504	A-PositionalAttribute	25504	"What-CineAccesibleNavarra-ES.eaf"
NCFS000	160179	AQ0MS0	161190	arena	160179	solo	161190		161190	"What-CineAccesibleNavarra-ES.eaf"
NCMP000	164223	AQ0MS0	165234	año	164223	corto	165234	A-SubjectiveAssessmentAttribute	165234	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	164897	AQ0MS0	165234	cabello	164897	corto	165234	A-SubjectiveAssessmentAttribute	165234	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	164897	AQ0MS0	165571	cabello	164897	pelirrojo	165571	A-ColorAttribute	165571	"What-CineAccesibleNavarra-ES.eaf"
NCFS000	166245	AQ0FS0	167256	barba	166245	corto	167256	A-SubjectiveAssessmentAttribute	167256	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	181790	AQ0MS0	182795	origen	181790	enigmático	182795	A-SubjectiveAssessmentAttribute	182795	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	224578	AQ0MS0	225280	lo_alto	224578	pequeño	225280	A-SubjectiveAssessmentAttribute	225280	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	248401	AQ0MS0	248642	gesto	248401	pensativo	248642	A-StateOfMind	248642	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	286046	AQ0MS0	286069	cabello	286046	largo	286069	A-SubjectiveAssessmentAttribute	286069	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	286046	AQ0MS0	286115	cabello	286046	canoso	286115	A-ColorAttribute	286115	"What-CineAccesibleNavarra-ES.eaf"
NCFS000	286230	AQ0MS0	286299	barba	286230	mismo	286299	A-SubjectiveAssessmentAttribute	286299	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	286322	AQ0CP0	286368	color	286322	grande	286368	A-SubjectiveAssessmentAttribute	286368	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	286460	AQ0CS0	286483	aspecto	286460	general	286483	A-SubjectiveAssessmentAttribute	286483	"What-CineAccesibleNavarra-ES.eaf"
NCMP000	286621	AQ0CP0	286644	pantalón	286621	azul	286644	A-ColorAttribute	286644	"What-CineAccesibleNavarra-ES.eaf"
NCFS000	286690	AQ0CS0	286759	camiseta	286690	verde	286759	A-ColorAttribute	286759	"What-CineAccesibleNavarra-ES.eaf"
NCMP000	286736	AQ0CS0	286759	tirante	286736	verde	286759	A-ColorAttribute	286759	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	286897	AQ0MS0	286920	parque	286897	público	286920	A-SubjectiveAssessmentAttribute	286920	"What-CineAccesibleNavarra-ES.eaf"
