"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Motion,771682,allunyar,771682,VMIP3P0,771682,"Altadill_Judit_CA.eaf"
-,772774,no,772774,RN,772774,"Altadill_Judit_CA.eaf"
TimeInterval,773182,encara,773182,RG,773182,"Altadill_Judit_CA.eaf"
-,773386,no,773386,RN,773386,"Altadill_Judit_CA.eaf"
Aux,774646,haver,774646,VAIP1S0,774646,"Altadill_Judit_CA.eaf"
BodyMotion,774880,estendre,774880,VMP00SF,774880,"Altadill_Judit_CA.eaf"
Aux,775816,haver,775816,VAIP1S0,775816,"Altadill_Judit_CA.eaf"
Process,776284,afanyar,776284,VMN0000,776284,"Altadill_Judit_CA.eaf"
Process,776752,acabar,776752,VMN0000,776752,"Altadill_Judit_CA.eaf"
-,778299,no,778299,RN,778299,"Altadill_Judit_CA.eaf"
Communication,779811,parlar,779811,VMSP2S0,779811,"Altadill_Judit_CA.eaf"
-,780819,esclar,780819,RG,780819,"Altadill_Judit_CA.eaf"
TimeInterval,781323,ja,781323,RG,781323,"Altadill_Judit_CA.eaf"
Aux,781575,haver,781575,VAIP1S0,781575,"Altadill_Judit_CA.eaf"
Process,782701,fer,782701,VMP00SM,782701,"Altadill_Judit_CA.eaf"
Object,783117,maleta,783117,NCFP000,783117,"Altadill_Judit_CA.eaf"
Seeing,783741,mirar,783741,VMIP3S0,783741,"Altadill_Judit_CA.eaf"
Location,784573,voltant,784573,NCMS000,784573,"Altadill_Judit_CA.eaf"
Hearing,785197,escoltar,785197,VMIP2S0,785197,"Altadill_Judit_CA.eaf"
TimeInterval,785613,ara,785613,RG,785613,"Altadill_Judit_CA.eaf"
-,785821,no,785821,RN,785821,"Altadill_Judit_CA.eaf"
-,786029,poder,786029,VMIP1S0,786029,"Altadill_Judit_CA.eaf"
Communication,786237,parlar,786237,VMN0000,786237,"Altadill_Judit_CA.eaf"
TimeInterval,3130,dia,3130,NCMS000,3130,"Arderius_Elvira_CA.eaf"
-,3554,mica,3554,NCFS000,3554,"Arderius_Elvira_CA.eaf"
A-RadiatingLight,3766,ennuvolar,3766,VMP00SM,3766,"Arderius_Elvira_CA.eaf"
Location,4614,platja,4614,NCFS000,4614,"Arderius_Elvira_CA.eaf"
Human,5250,noi,5250,NCMS000,5250,"Arderius_Elvira_CA.eaf"
Human,5886,noi,5886,NCFS000,5886,"Arderius_Elvira_CA.eaf"
Walking,6098,passejar,6098,VMIP3P0,6098,"Arderius_Elvira_CA.eaf"
Animal,6522,gos,6522,NCMS000,6522,"Arderius_Elvira_CA.eaf"
Human,7158,noi,7158,NCMS000,7158,"Arderius_Elvira_CA.eaf"
Walking,7370,córrer,7370,VMIP3S0,7370,"Arderius_Elvira_CA.eaf"
Animal,8434,gos,8434,NCMS000,8434,"Arderius_Elvira_CA.eaf"
Motion,8886,aturar,8886,VMIP3S0,8886,"Arderius_Elvira_CA.eaf"
Smelling,9338,ensumar,9338,VMN0000,9338,"Arderius_Elvira_CA.eaf"
Location,9790,terra,9790,NCFS000,9790,"Arderius_Elvira_CA.eaf"
Human,10468,noi,10468,NCMS000,10468,"Arderius_Elvira_CA.eaf"
Human,11146,noi,11146,NCFS000,11146,"Arderius_Elvira_CA.eaf"
Motion,11598,creuar,11598,VMIP3P0,11598,"Arderius_Elvira_CA.eaf"
-,12276,corredor,12276,NCMS000,12276,"Arderius_Elvira_CA.eaf"
FilmLanguage,17721,fons,17721,NCMN000,17721,"Arderius_Elvira_CA.eaf"
A-ColorAttribute,17959,blanc,17959,AQ0MS0,17959,"Arderius_Elvira_CA.eaf"
FilmLanguage,18673,lletra,18673,NCFP000,18673,"Arderius_Elvira_CA.eaf"
A-ColorAttribute,22157,negre,22157,AQ0CP0,22157,"Arderius_Elvira_CA.eaf"
-,23165,cotxe,23165,NCMS000,23165,"Arderius_Elvira_CA.eaf"
A-ColorAttribute,23417,platejar,23417,VMP00SM,23417,"Arderius_Elvira_CA.eaf"
-,24173,porta,24173,NCFP000,24173,"Arderius_Elvira_CA.eaf"
Motion,24425,aparcar,24425,VMIP3S0,24425,"Arderius_Elvira_CA.eaf"
Location,25181,carrer,25181,NCMS000,25181,"Arderius_Elvira_CA.eaf"
Location,26348,platja,26348,NCFS000,26348,"Arderius_Elvira_CA.eaf"
Human,27236,conductor,27236,NCMS000,27236,"Arderius_Elvira_CA.eaf"
Communication,28346,parlar,28346,VMIP3S0,28346,"Arderius_Elvira_CA.eaf"
Object,28790,telèfon,28790,NCMS000,28790,"Arderius_Elvira_CA.eaf"
Motion,29234,baixar,29234,VMIP3S0,29234,"Arderius_Elvira_CA.eaf"
-,29900,cotxe,29900,NCMS000,29900,"Arderius_Elvira_CA.eaf"
Object,38510,maletí,38510,NCMS000,38510,"Arderius_Elvira_CA.eaf"
-,39146,desar,39146,VMIP3S0,39146,"Arderius_Elvira_CA.eaf"
Object,43643,maletí,43643,NCMS000,43643,"Arderius_Elvira_CA.eaf"
Location,44309,maleter,44309,NCMS000,44309,"Arderius_Elvira_CA.eaf"
Putting,53019,treure,53019,VMIP3S0,53019,"Arderius_Elvira_CA.eaf"
Object,53465,bossa,53465,NCFS000,53465,"Arderius_Elvira_CA.eaf"
-,53911,ratlla,53911,NCFP000,53911,"Arderius_Elvira_CA.eaf"
-,55918,any,55918,NCMP000,55918,"Arderius_Elvira_CA.eaf"
-,56364,dur,56364,VMIP3S0,56364,"Arderius_Elvira_CA.eaf"
BodyPart,56587,barba,56587,NCFS000,56587,"Arderius_Elvira_CA.eaf"
Clothing,57033,corbata,57033,NCFS000,57033,"Arderius_Elvira_CA.eaf"
Clothing,57708,camisa,57708,NCFS000,57708,"Arderius_Elvira_CA.eaf"
A-ColorAttribute,57979,clar,57979,AQ0FS0,57979,"Arderius_Elvira_CA.eaf"
Clothing,58521,vestit,58521,NCMS000,58521,"Arderius_Elvira_CA.eaf"
A-ColorAttribute,58792,negre,58792,AQ0MS0,58792,"Arderius_Elvira_CA.eaf"
Putting,59876,treure,59876,VMIP3S0,59876,"Arderius_Elvira_CA.eaf"
Clothing,60418,ulleres_de_sol,60418,NCFP000,60418,"Arderius_Elvira_CA.eaf"
Clothing,61231,butxaca,61231,NCFS000,61231,"Arderius_Elvira_CA.eaf"
Clothing,65162,jaqueta,65162,NCFS000,65162,"Arderius_Elvira_CA.eaf"
Putting,66234,posar,66234,VMIP3S0,66234,"Arderius_Elvira_CA.eaf"
FilmLanguage,67845,lletra,67845,NCFP000,67845,"Arderius_Elvira_CA.eaf"
A-ColorAttribute,68125,blanc,68125,AQ0FP0,68125,"Arderius_Elvira_CA.eaf"
Human,69525,empresari,69525,NCMS000,69525,"Arderius_Elvira_CA.eaf"
Walking,70925,caminar,70925,VMIP3S0,70925,"Arderius_Elvira_CA.eaf"
Object,91924,bossa,91924,NCFS000,91924,"Arderius_Elvira_CA.eaf"
-,92462,ratlla,92462,NCFP000,92462,"Arderius_Elvira_CA.eaf"
A-PositionalAttribute,92731,penjar,92731,VMP00SF,92731,"Arderius_Elvira_CA.eaf"
Communication,93269,parlar,93269,VMIP3S0,93269,"Arderius_Elvira_CA.eaf"
Object,93807,telèfon,93807,NCMS000,93807,"Arderius_Elvira_CA.eaf"
Location,95152,sorra,95152,NCFS000,95152,"Arderius_Elvira_CA.eaf"
Location,95959,platja,95959,NCFS000,95959,"Arderius_Elvira_CA.eaf"
exists,99335,haver,99335,VMIP3S0,99335,"Arderius_Elvira_CA.eaf"
Object,99745,tovallola,99745,NCFS000,99745,"Arderius_Elvira_CA.eaf"
A-PositionalAttribute,99950,estendre,99950,VMP00SF,99950,"Arderius_Elvira_CA.eaf"
Clothing,100565,vestit,100565,NCMS000,100565,"Arderius_Elvira_CA.eaf"
BodyMotion,105263,estirar,105263,VMIP3S0,105263,"Arderius_Elvira_CA.eaf"
Motion,105743,anar,105743,VAIP3S0,105743,"Arderius_Elvira_CA.eaf"
Clothing,106223,banyador,106223,NCMS000,106223,"Arderius_Elvira_CA.eaf"
BodyMotion,108842,fregar,108842,VMIP3S0,108842,"Arderius_Elvira_CA.eaf"
BodyPart,109306,ull,109306,NCMP000,109306,"Arderius_Elvira_CA.eaf"
Aux,109770,deixar,109770,VAIP3S0,109770,"Arderius_Elvira_CA.eaf"
BodyMotion,110002,caure,110002,VMN0000,110002,"Arderius_Elvira_CA.eaf"
BodyPart,142044,braç,142044,NCMP000,142044,"Arderius_Elvira_CA.eaf"
Location,142707,sorra,142707,NCFS000,142707,"Arderius_Elvira_CA.eaf"
Process,143370,jugar,143370,VMIP3S0,143370,"Arderius_Elvira_CA.eaf"
-,144033,sorra,144033,NCFS000,144033,"Arderius_Elvira_CA.eaf"
BodyPart,159590,dit,159590,NCMP000,159590,"Arderius_Elvira_CA.eaf"
A-StateOfMind,160283,estranyar,160283,VMP00SM,160283,"Arderius_Elvira_CA.eaf"
